@relation CRUNCH_train_noise_1.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
69,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,10.898551,TRUE
58,6,1,1,1,4,4,4.0,2,2,2.0,38,38,2.0,752,12.965517,TRUE
85,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,8.847059,TRUE
53,35,2,1,2,31,24,15.5,27,21,13.5,26,21,13.5,752,14.188679,TRUE
100,16,2,1,2,13,10,6.5,10,9,5.0,26,21,5.0,752,7.52,TRUE
95,23,1,1,1,10,10,10.0,-3,0,-3.0,38,38,-3.0,752,7.915789,TRUE
71,9,1,1,1,4,4,4.0,-1,0,-1.0,18,18,-1.0,752,10.591549,TRUE
525,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,1.432381,TRUE
45,12,4,3,3,7,4,1.75,2,2,0.5,101,38,0.5,752,16.711111,TRUE
707,47,3,2,3,7,6,3.5,-67,1,-22.333333,34,18,-22.333333,752,1.063649,TRUE
262,15,1,1,1,15,15,15.0,15,15,15.0,38,38,15.0,752,2.870229,TRUE
55,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,13.672726999999998,TRUE
204,76,3,1,2,73,58,24.333333,70,57,23.333333,41,18,23.333333,752,3.686275,TRUE
116,9,1,1,1,8,8,8.0,7,7,7.0,3,3,7.0,752,6.482759,TRUE
225,117,3,2,3,54,24,18.0,-9,9,-3.0,50,24,-3.0,752,3.342222,TRUE
30,72,2,1,2,67,66,33.5,62,62,31.0,19,18,31.0,752,25.066667000000002,TRUE
81,11,2,2,2,6,4,3.0,1,2,0.5,56,38,0.5,752,9.283951,TRUE
204,50,1,1,1,25,25,25.0,0,0,0.0,38,38,0.0,752,3.686275,TRUE
37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,20.324324,TRUE
99,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,7.595960000000001,TRUE
155,14,2,1,2,11,10,5.5,8,8,4.0,13,8,4.0,752,4.8516129999999995,TRUE
240,36,4,2,3,31,11,7.75,26,9,6.5,28,18,6.5,752,3.1333330000000004,TRUE
92,8,1,1,1,6,6,6.0,4,4,4.0,38,38,4.0,752,8.173913,TRUE
116,10,2,1,2,7,6,3.5,4,4,2.0,43,38,2.0,752,6.482759,TRUE
121,28,4,3,3,18,6,6.0,2,6,0.5,101,38,0.5,752,6.214876,TRUE
47,5,1,1,1,4,4,4.0,3,3,3.0,38,38,3.0,752,16.0,TRUE
93,1,1,1,1,0,0,0.0,-2,0,-2.0,18,18,-2.0,752,8.086022,TRUE
146,8,2,2,1,1,1,1.0,-7,0,-3.5,7,5,-3.5,752,5.150685,TRUE
116,54,4,3,3,35,14,11.666667,2,14,0.5,101,38,0.5,752,6.482759,TRUE
134,61,5,2,3,32,11,6.4,3,5,0.6,56,24,0.6,752,5.61194,TRUE
250,9,1,1,1,5,5,5.0,1,1,1.0,1,1,1.0,752,3.008,TRUE
78,23,4,3,3,15,5,5.0,2,5,0.5,101,38,0.5,752,9.641026,TRUE
70,6,1,1,1,0,0,0.0,-12,0,-12.0,18,18,-12.0,752,10.742857,TRUE
89,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,8.449438,TRUE
103,2,1,1,1,1,1,1.0,0,0,0.0,2,2,0.0,752,7.3009710000000005,TRUE
327,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,2.2996939999999997,TRUE
145,3,1,1,1,1,1,1.0,-1,0,-1.0,38,38,-1.0,752,5.186207,TRUE
190,71,2,2,2,22,20,11.0,-27,9,-13.5,19,18,-13.5,752,3.9578949999999997,TRUE
46,5,1,1,1,2,2,2.0,-1,0,-1.0,38,38,-1.0,752,16.347826,TRUE
65,186,3,2,3,99,37,33.0,12,12,4.0,50,24,4.0,752,11.569231,TRUE
588,33,2,1,2,1,1,1.0,-62,0,-31.0,29,18,-31.0,752,1.278912,TRUE
368,614,6,2,2,285,130,47.5,-44,47,-7.3333330000000005,33,8,-7.3333330000000005,752,2.043478,TRUE
208,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,3.615385,TRUE
126,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,5.968254,TRUE
69,5,1,1,1,4,4,4.0,3,3,3.0,38,38,3.0,752,10.898551,TRUE
122,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.163933999999999,TRUE
106,61,5,2,3,32,11,6.4,3,5,0.6,56,24,0.6,752,7.094339999999999,TRUE
76,59,4,2,3,31,11,7.75,3,5,0.75,54,24,0.75,752,9.894737,TRUE
232,5,1,0,1,3,3,3.0,1,1,1.0,18,18,1.0,752,3.2413790000000002,TRUE
62,5,1,1,1,0,0,0.0,-10,0,-10.0,18,18,-10.0,752,12.129032,TRUE
68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.058824000000001,TRUE
95,1,1,1,1,0,0,0.0,-2,0,-2.0,18,18,-2.0,752,7.915789,TRUE
63,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.936508,TRUE
48,17,2,2,1,15,9,7.5,13,9,6.5,40,38,6.5,752,15.666667000000002,TRUE
75,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,10.026667,TRUE
98,1,1,1,1,0,0,0.0,-2,0,-2.0,18,18,-2.0,752,7.673469,TRUE
41,4,1,1,1,2,2,2.0,0,0,0.0,38,38,0.0,752,18.341463,TRUE
44,8,1,1,1,7,7,7.0,6,6,6.0,38,38,6.0,752,17.090909,TRUE
49,6,1,1,1,4,4,4.0,2,2,2.0,38,38,2.0,752,15.346939,TRUE
83,12,2,1,2,10,8,5.0,8,7,4.0,26,21,4.0,752,9.060241,TRUE
149,23,2,2,2,6,6,6.0,-23,1,-11.5,56,38,-11.5,752,5.0469800000000005,TRUE
233,94,6,3,3,65,24,10.833333,36,20,6.0,124,38,6.0,752,3.227468,TRUE
65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.569231,TRUE
93,19,1,0,1,17,17,17.0,15,15,15.0,3,3,15.0,752,8.086022,TRUE
85,74,4,3,3,43,14,10.75,12,10,3.0,101,38,3.0,752,8.847059,TRUE
129,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,5.829457,TRUE
101,2,1,1,1,0,0,0.0,-4,0,-4.0,18,18,-4.0,752,7.445545,TRUE
127,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,5.92126,TRUE
187,30,4,3,3,21,11,7.0,7,7,1.75,101,38,1.75,752,4.02139,TRUE
229,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,3.283843,TRUE
84,69,4,3,3,33,21,11.0,-9,6,-2.25,101,38,-2.25,752,8.952380999999999,TRUE
86,2,1,1,1,1,1,1.0,0,0,0.0,38,38,0.0,752,8.744186000000001,TRUE
50,26,2,1,2,20,13,10.0,14,11,7.0,43,38,7.0,752,15.04,TRUE
69,4,1,1,1,2,2,2.0,0,0,0.0,9,9,0.0,1991,28.855071999999996,TRUE
85,11,3,1,2,6,4,2.0,1,1,0.333333,75,32,0.333333,1991,23.423529000000002,TRUE
110,56,2,1,1,54,52,27.0,52,52,26.0,39,24,26.0,1991,18.1,TRUE
72,11,1,1,1,0,0,0.0,-22,0,-22.0,9,9,-22.0,1991,27.652778,TRUE
525,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1991,3.792381,TRUE
76,6,1,1,1,0,0,0.0,-12,0,-12.0,9,9,-12.0,1991,26.197368,TRUE
279,4,1,1,1,3,3,3.0,2,2,2.0,1,1,2.0,1991,7.136201,TRUE
55,17,2,1,1,9,8,4.5,1,1,0.5,43,24,0.5,1991,36.2,TRUE
92,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1991,21.641304,TRUE
37,5,2,2,2,2,2,2.0,-4,2,-2.0,26,24,-2.0,1991,53.810811,TRUE
99,25,4,2,1,15,6,3.75,5,4,1.25,44,24,1.25,1991,20.111110999999998,TRUE
231,20,3,1,2,10,8,3.333333,0,0,0.0,52,32,0.0,1991,8.619048,TRUE
266,64,5,2,2,44,29,11.0,7,29,1.4,48,15,1.4,1991,7.4849619999999994,TRUE
120,8,3,1,1,6,4,2.0,4,2,1.333333,56,24,1.333333,1991,16.591667,TRUE
89,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1991,22.370787,TRUE
108,10,1,1,1,0,0,0.0,-20,0,-20.0,9,9,-20.0,1991,18.435185,TRUE
169,1,1,1,1,0,0,0.0,-2,0,-2.0,9,9,-2.0,1991,11.781065,TRUE
327,6,1,0,1,4,4,4.0,2,2,2.0,8,8,2.0,1991,6.088685,TRUE
324,95,2,1,2,71,65,35.5,47,43,23.5,18,13,23.5,1991,6.145062,TRUE
208,34,3,0,1,30,23,10.0,26,21,8.666667,30,15,8.666667,1991,9.572115,TRUE
126,6,2,0,2,3,2,1.5,0,1,0.0,21,17,0.0,1991,15.801587,TRUE
122,20,2,1,1,16,15,8.0,12,12,6.0,28,19,6.0,1991,16.319672,TRUE
118,11,2,1,2,9,8,4.5,7,7,3.5,37,32,3.5,1991,16.872881,TRUE
233,2,1,1,1,0,0,0.0,-4,0,-4.0,9,9,-4.0,1991,8.545064,TRUE
68,26,2,2,1,3,3,3.0,-24,0,-12.0,25,24,-12.0,1991,29.279412,TRUE
108,9,1,1,1,0,0,0.0,-18,0,-18.0,9,9,-18.0,1991,18.435185,TRUE
63,47,2,1,2,39,38,19.5,31,31,15.5,35,32,15.5,1991,31.603175,TRUE
75,31,3,2,1,17,12,5.6666669999999995,3,4,1.0,36,24,1.0,1991,26.546667,TRUE
269,9,2,1,2,6,3,3.0,3,2,1.5,18,17,1.5,1991,7.4014869999999995,TRUE
65,3,1,1,1,1,1,1.0,-1,0,-1.0,24,24,-1.0,1991,30.630769,TRUE
108,32,5,1,1,23,9,4.6,14,9,2.8,71,24,2.8,1991,18.435185,TRUE
129,45,2,1,2,16,15,8.0,-13,0,-6.5,56,32,-6.5,1991,15.434109,TRUE
127,4,2,0,2,2,1,1.0,0,0,0.0,51,32,0.0,1991,15.677164999999999,TRUE
229,93,4,1,1,86,38,21.5,79,35,19.75,38,24,19.75,1991,8.694322999999999,TRUE
124,6,2,1,2,4,3,2.0,2,2,1.0,37,32,1.0,1991,16.056452,TRUE
118,14,1,1,1,11,11,11.0,8,8,8.0,1,1,8.0,22248,188.542373,TRUE
525,1729,4,2,3,749,352,187.25,-231,248,-57.75,74,29,-57.75,22248,42.377143,TRUE
148,3,1,1,1,2,2,2.0,1,1,1.0,6,6,1.0,22248,150.324324,TRUE
92,2,1,1,1,1,1,1.0,0,0,0.0,1,1,0.0,22248,241.826087,TRUE
89,23,1,1,1,20,20,20.0,17,17,17.0,2,2,17.0,22248,249.97752799999998,TRUE
329,16,1,1,1,7,7,7.0,-2,0,-2.0,3,3,-2.0,22248,67.6231,TRUE
234,119,5,1,3,80,55,16.0,41,54,8.2,29,10,8.2,22248,95.076923,TRUE
126,220,2,2,2,103,56,51.5,-14,47,-7.0,6,4,-7.0,22248,176.571429,TRUE
272,2,1,1,1,1,1,1.0,0,0,0.0,1,1,0.0,22248,81.79411800000001,TRUE
127,10,1,1,1,9,9,9.0,8,8,8.0,4,4,8.0,22248,175.181102,TRUE
308,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,22248,72.233766,TRUE
149,2,1,1,1,1,1,1.0,0,0,0.0,10,10,0.0,133715,897.416107,TRUE
78,4,1,1,1,1,1,1.0,-2,0,-2.0,4,4,-2.0,133715,1714.294872,TRUE
121,53,1,1,1,52,52,52.0,51,51,51.0,4,4,51.0,133715,1105.082645,TRUE
51,3,1,1,1,1,1,1.0,-1,0,-1.0,10,10,-1.0,133715,2621.862745,TRUE
48,22,2,1,1,21,14,10.5,20,14,10.0,23,22,10.0,133715,2785.729167,TRUE
102,3,1,1,1,2,2,2.0,1,1,1.0,2,2,1.0,133715,1310.9313730000001,TRUE
118,56,1,1,1,44,44,44.0,32,32,32.0,1,1,32.0,133715,1133.177966,TRUE
75,16,1,1,1,13,13,13.0,10,10,10.0,4,4,10.0,133715,1782.8666670000002,TRUE
59,4,1,1,1,2,2,2.0,0,0,0.0,10,10,0.0,133715,2266.355932,TRUE
210,43,2,2,2,28,15,14.0,13,12,6.5,10,7,6.5,133715,636.738095,TRUE
245,41,2,2,1,32,27,16.0,23,22,11.5,21,11,11.5,133715,545.7755099999999,TRUE
116,51,1,1,1,31,31,31.0,11,11,11.0,4,4,11.0,133715,1152.715517,TRUE
321,36,1,1,1,16,16,16.0,-4,0,-4.0,7,7,-4.0,133715,416.55763199999996,TRUE
106,325,2,1,1,256,215,128.0,187,167,93.5,5,4,93.5,133715,1261.462264,TRUE
378,61,3,3,2,35,20,11.666667,9,17,3.0,13,10,3.0,133715,353.743386,TRUE
227,55,6,5,3,46,31,7.6666669999999995,37,30,6.1666669999999995,49,22,6.1666669999999995,133715,589.052863,TRUE
275,144,4,2,3,116,68,29.0,88,54,22.0,29,22,22.0,133715,486.236364,TRUE
195,8,1,1,1,4,4,4.0,0,0,0.0,2,2,0.0,133715,685.717949,TRUE
239,7,1,1,1,4,4,4.0,1,1,1.0,7,7,1.0,133715,559.476987,TRUE
154,2,1,1,1,1,1,1.0,0,0,0.0,2,2,0.0,133715,868.2792210000001,TRUE
396,17,2,1,2,13,11,6.5,9,9,4.5,29,22,4.5,133715,337.66414100000003,TRUE
163,9,2,2,1,4,2,2.0,-1,0,-0.5,21,11,-0.5,133715,820.3374230000001,TRUE
92,20,4,2,1,12,6,3.0,4,4,1.0,34,22,1.0,133715,1453.423913,TRUE
308,35,4,3,3,20,5,5.0,5,5,1.25,6,2,1.25,133715,434.13960999999995,TRUE
41,2,1,1,1,1,1,1.0,0,0,0.0,11,11,0.0,133715,3261.3414629999997,TRUE
77,6,1,1,1,5,5,5.0,4,4,4.0,2,2,4.0,133715,1736.5584420000002,TRUE
225,16,1,1,1,15,15,15.0,14,14,14.0,7,7,14.0,133715,594.2888889999999,TRUE
66,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.393939,FALSE
51,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,14.745098,FALSE
118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.372881,FALSE
105,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,7.161905,FALSE
135,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,5.57037,FALSE
41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,18.341463,FALSE
112,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.714286,FALSE
108,73,2,1,2,70,57,35.0,67,56,33.5,6,5,33.5,752,6.962963,FALSE
40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,18.8,FALSE
224,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,3.357143,FALSE
216,16,1,0,1,16,16,16.0,16,16,16.0,6,6,16.0,752,3.4814809999999996,FALSE
24,12,1,0,1,12,12,12.0,12,12,12.0,21,21,12.0,752,31.333333000000003,FALSE
156,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,4.820513,FALSE
155,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,4.8516129999999995,FALSE
102,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,7.372549,FALSE
122,8,1,0,1,8,8,8.0,8,8,8.0,18,18,8.0,752,6.163933999999999,FALSE
49,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,15.346939,FALSE
98,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,7.673469,FALSE
63,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.936508,FALSE
121,11,1,1,1,9,9,9.0,7,7,7.0,5,5,7.0,752,6.214876,FALSE
234,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,3.213675,FALSE
113,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.654866999999999,FALSE
121,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.214876,FALSE
37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,20.324324,FALSE
47,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,16.0,FALSE
108,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.962963,FALSE
41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,18.341463,FALSE
52,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,14.461538000000001,FALSE
109,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.899083,FALSE
41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,18.341463,FALSE
147,8,1,0,1,8,8,8.0,8,8,8.0,18,18,8.0,752,5.115646,FALSE
81,61,4,3,3,33,17,11.0,-3,8,-0.75,101,38,-0.75,752,9.283951,FALSE
51,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,14.745098,FALSE
65,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.569231,FALSE
76,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,9.894737,FALSE
84,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,8.952380999999999,FALSE
135,64,2,0,2,44,38,22.0,24,22,12.0,24,21,12.0,752,5.57037,FALSE
214,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,3.5140190000000002,FALSE
68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,11.058824000000001,FALSE
208,33,5,0,2,29,25,7.25,24,25,4.8,13,6,4.8,752,3.615385,FALSE
41,11,1,0,1,10,10,10.0,9,9,9.0,21,21,9.0,752,18.341463,FALSE
123,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.113821,FALSE
31,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,24.258065,FALSE
42,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,17.904761999999998,FALSE
54,6,4,3,3,4,2,1.333333,1,1,0.25,101,38,0.25,752,13.925926,FALSE
48,20,1,1,1,16,16,16.0,12,12,12.0,38,38,12.0,752,15.666667000000002,FALSE
39,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,19.282051,FALSE
330,76,3,1,1,55,41,18.333333,34,24,11.333333,9,6,11.333333,752,2.278788,FALSE
72,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,10.444444,FALSE
92,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,8.173913,FALSE
40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,18.8,FALSE
37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,20.324324,FALSE
82,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,9.170732000000001,FALSE
32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,23.5,FALSE
109,19,4,3,3,12,5,4.0,0,5,0.0,101,38,0.0,752,6.899083,FALSE
108,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,6.962963,FALSE
96,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,752,7.8333330000000005,FALSE
